# LZMA SDK 26.03 Lzma2Enc/Lzma2Dec
# corpus_files=1 corpus_bytes=211938580 mode=solid
# cthreads=2 dthreads=1 iterations=3
mode	level	dict	in_bytes	out_bytes	ratio	c_MBps	d_MBps
sdk	1	262144	211938580	59097460	0.278842	40.42	69.03
sdk	2	1048576	211938580	57456751	0.271101	38.00	72.43
sdk	3	4194304	211938580	56370923	0.265978	27.40	74.90
sdk	4	16777216	211938580	55968130	0.264077	20.46	78.09
sdk	5	33554432	211938580	49570272	0.233890	4.63	73.79
sdk	6	67108864	211938580	49555111	0.233818	4.05	80.67
sdk	7	134217728	211938580	48703393	0.229800	3.81	83.08
sdk	8	268435456	211938580	48687093	0.229723	3.71	77.05
sdk	9	268435456	211938580	48687093	0.229723	3.72	80.30
